Team,Played,Points,PPG
Russia,10.64516129,21.93548387,2.060606061
Brazil,18,41,2.277777778
Iran,10,22,2.2
Japan,10,20,2
Mexico,10,21,2.1
Belgium,10,28,2.8
South Korea,10,15,1.5
Saudi Arabia,10,19,1.9
Germany,10,30,3
England,10,26,2.6
Spain,10,28,2.8
Nigeria,6,13,2.166666667
Costa Rica,10,16,1.6
Poland,10,25,2.5
Egypt,6,13,2.166666667
Iceland,10,22,2.2
Serbia,10,21,2.1
Portugal,10,27,2.7
France,10,23,2.3
Uruguay,18,31,1.722222222
Argentina,18,28,1.555555556
Colombia,18,27,1.5
Panama,10,13,1.3
Senegal,6,14,2.333333333
Morocco,6,12,2
Tunisia,6,14,2.333333333
Switzerland,10,27,2.7
Croatia,10,20,2
Sweden,10,19,1.9
Denmark,10,20,2
Australia,10,19,1.9
Peru,18,26,1.444444444
